Date,Gas Warm Air Furnaces,Oil Warm Air Furnaces,Residential Gas Automatic Storage Water Heaters,Residential Electric Automatic Storage Water Heaters,Commercial Gas Storage Water Heaters,Commercial Electric Storage Water Heaters,Unitary_Air_Conditioning,Unitary_Heat_Pump,Unitary_AC_HP_sub16.5,Unitary_AC_HP_16.5-21.9,Unitary_AC_HP_22.0-26.9,Unitary_AC_HP_27.0-32.9,Unitary_AC_HP_33.0-38.9,Unitary_AC_HP_39.0-43.9,Unitary_AC_HP_44.0-53.9,Unitary_AC_HP_54.0-64.9,Unitary_AC_HP_65.0-96.9,Unitary_AC_HP_97.0-134.9,Unitary_AC_HP_135.0-184.9,Unitary_AC_HP_185.0-249.9,Unitary_AC_HP_250.0-319.9,Unitary_AC_HP_320.0-379.9,Unitary_AC_HP_380.0-539.9,Unitary_AC_HP_540.0-639.9,Unitary_AC_HP_640.0-799.9,Unitary_AC_HP_800.0-899.9,Unitary_AC_HP_900.0-999.9,Unitary_AC_HP_1000.0-1199.9,Unitary_AC_HP_over1200
1/1/2019,232321,3568,433264,405928,6742,11991,283498,235490,27112,53678,100505,76160,105210,39349,55665,41752,7298,5277,3246,1528,1064,246,313,214,111,79,51,36,94
2/1/2019,246778,2377,357390,335993,7303,11732,315183,213233,21097,49428,104312,83735,109828,39441,55960,44479,7661,5378,3256,1476,1106,278,344,259,120,59,70,25,104
3/1/2019,351908,2872,387118,358666,9734,13904,515353,298252,30935,76837,168138,131704,171129,59337,84982,65546,9473,6787,4193,2023,1115,288,355,307,118,85,75,39,139
4/1/2019,272138,2725,367028,341834,7404,13395,488907,254161,23107,62664,145521,124593,160463,58647,81979,63113,7756,6233,4336,1961,1258,347,402,253,130,55,71,48,131
5/1/2019,290143,2703,357513,343390,7390,13452,659423,346223,26945,79351,196483,166248,224728,81085,116217,85972,9775,7756,5540,2384,1578,385,435,326,141,61,82,40,114
6/1/2019,353700,2568,350053,334995,7638,13354,716424,355508,30293,84923,209650,174615,233564,83896,123259,97356,11860,9748,6545,2778,1860,424,380,300,168,75,75,73,90
7/1/2019,238979,2143,320382,322966,6253,11316,613974,295190,31206,67677,174720,143046,196387,71088,106652,85529,11743,9137,6148,2690,1664,388,406,249,123,71,79,53,108
8/1/2019,305850,2993,384505,356845,8223,13868,499252,280671,29739,66243,143719,120083,162910,60189,88431,77609,11328,8571,5716,2383,1474,391,394,278,142,56,57,52,158
9/1/2019,286870,4987,330910,323984,7672,11578,380581,233026,21547,54793,111233,88703,125860,47846,73900,63076,9190,7098,5033,2476,1471,364,364,228,146,75,39,38,127
10/1/2019,290916,4605,340810,351766,6797,12998,315498,200978,21474,49843,95831,74173,103721,39040,58391,49785,8312,6394,4624,4624,2145,1312,357,375,263,143,75,59,42
11/1/2019,284670,4128,342380,341949,6120,10934,267994,192008,23415,44826,86240,69230,92554,33815,48624,40176,7472,5480,3984,1754,1045,397,329,215,152,78,68,35,115
12/1/2019,287599,5023,382958,405648,7271,12145,303688,205100,16863,49644,98940,80234,106547,37751,53994,42908,7738,5858,4365,1513,1107,357,296,225,137,72,98,44,97
1/1/2020,227706,2398,384213,386291,7207,12626,308311,231868,22150,55601,109012,81483,110979,39595,58454,43897,6669,4708,3074,1442,924,263,328,246,91,60,88,36,79
2/1/2020,202583,2255,379599,361357,7276,12695,325697,233156,26100,57744,114892,85556,114300,37725,57534,44646,7783,5204,3401,1503,1236,284,302,234,105,62,95,49,98
3/1/2020,244961,2139,416504,401348,8371,14044,546992,304947,33499,82829,173556,140003,181863,62087,88395,65697,8881,5884,4411,1817,1550,327,363,305,136,80,91,53,112
4/1/2020,156483,905,311683,322258,5849,9888,398040,235996,19762,53559,118921,102269,138131,54295,76893,53928,5021,4355,2940,1466,1298,248,259,284,113,85,78,56,75
5/1/2020,215313,1057,332297,322303,5048,9456,522624,255191,28480,74499,157977,121307,165627,58582,88388,64825,5742,4727,3505,1602,1122,396,317,272,118,96,60,68,105
6/1/2020,321509,2180,411726,414469,6116,11286,754433,358616,34746,93964,217811,191719,247859,86220,125656,89647,8805,6745,4542,2128,1789,422,393,266,105,62,44,56,70
7/1/2020,288630,2146,392864,398426,6671,12223,675373,335041,32906,81543,200720,168543,225227,79726,108867,84482,10319,7496,5081,2118,1722,468,428,290,153,82,77,42,124
8/1/2020,321537,4300,400862,394585,5592,11177,639349,310773,34970,75450,190377,159559,207596,73835,105970,76557,9410,7030,4386,1978,1611,332,361,295,133,53,88,54,77
9/1/2020,351087,5388,366161,383178,6455,11325,573565,328981,33611,86942,176908,146430,184744,71585,100572,78270,8364,6187,4368,1826,1445,335,342,251,116,61,70,53,66
10/1/2020,353858,4315,426254,441212,7311,12463,497986,333682,40991,77634,151315,121607,178033,64473,97729,76651,7937,6409,3998,1887,1794,262,380,230,104,55,53,52,74
11/1/2020,314418,4749,358746,368843,6221,10582,346023,247975,25574,59132,110677,82919,121443,45081,71970,57988,6642,5179,3239,1522,1443,290,332,216,112,38,67,40,94
12/1/2020,353091,4673,421700,441176,7953,12901,321891,242252,24970,64245,108574,82351,108752,43880,60321,51005,7197,5152,3699,1491,1323,265,336,223,122,38,56,46,97
1/1/2021,355097,3595,397342,395640,6642,11737,408831,277095,30768,69443,142214,104599,136929,52063,75306,55798,7143,5198,3103,1270,1236,226,215,156,87,23,50,19,80
